# =========================================== 
# Initialization time: 2023-01-13T16:30:16Z
# <module>, <HEX ID>, <timestamp>, <sensors>...
# ------------------------------------------- 
03, 49da2e, 2023-01-17T15:14:51Z, 20.50, 19.94, 19.81, 19.63, 19.50, 19.25, 19.19, 19.19
04, f2f12d, 2023-01-17T15:14:58Z, 19.38, 19.56, 19.56, 19.50, 19.56, 19.56, 20.31, 19.56
05, 5bdc2e, 2023-01-17T15:15:05Z, 19.19, 19.31, 19.63, 19.81, 19.69, 19.56, 19.25, 19.19
06, 66f43c, 2023-01-17T15:15:12Z, 19.88, 20.06, 20.19, 20.31, 20.50, 20.44, 20.56, 20.31
07, 894a2d, 2023-01-17T15:15:19Z, 19.63, 19.44, 19.31, 19.44, 19.63, 19.63, 19.63, 19.69
08, 554f2d, 2023-01-17T15:15:26Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.81, 15.88
02, 50163d, 2023-01-17T15:15:43Z, 16.94, 16.94, 16.94, 17.06, 17.00, 17.00, 16.88, 16.19
03, 49da2e, 2023-01-17T15:15:50Z, 20.25, 19.63, 19.56, 19.38, 19.31, 19.13, 19.06, 19.13
04, f2f12d, 2023-01-17T15:15:58Z, 19.38, 19.56, 19.56, 19.50, 19.56, 19.63, 20.31, 19.56
05, 5bdc2e, 2023-01-17T15:16:05Z, 19.00, 19.19, 19.63, 19.81, 19.69, 19.50, 19.19, 19.13
06, 66f43c, 2023-01-17T15:16:12Z, 19.81, 19.94, 20.00, 20.13, 20.31, 20.31, 20.44, 20.31
07, 894a2d, 2023-01-17T15:16:19Z, 19.63, 19.44, 19.25, 19.44, 19.56, 19.63, 19.63, 19.63
08, 554f2d, 2023-01-17T15:16:26Z, 17.06, 16.94, 16.81, 16.94, 16.94, 17.00, 16.81, 15.69
02, 50163d, 2023-01-17T15:16:43Z, 16.94, 16.94, 17.00, 17.06, 17.00, 17.00, 16.88, 16.00
